#,LINEARobjectID,LCtype,P,A,stdev,rms,Lchi2pdf,nObs,skew,kurt,CUF
,2522,5,0.238812,0.68,0.22,0.25,0.543,225,0.75,0.11,1
,4822,5,0.403043,0.32,0.11,0.12,2.102,126,0.46,-0.89,1
,17249,5,0.252815,0.57,0.18,0.19,0.876,178,1.16,0.44,1
,18469,5,0.428962,0.46,0.16,0.2,2.501,200,0.7,-0.59,1
,28800,5,0.332774,0.28,0.11,0.11,1.214,240,1.84,7.94,1
,29848,1,0.557009,0.62,0.21,0.26,1.223,301,-0.31,-0.57,1
,31825,1,0.463628,0.79,0.25,0.27,0.834,289,-0.25,-0.12,1
,32086,1,0.569258,0.71,0.22,0.29,2.369,289,-0.49,-1.0,1
,41937,5,0.261539,0.42,0.14,0.17,1.052,252,0.4,-0.77,1
,43542,1,0.245818,0.6,0.18,0.22,1.167,245,-0.05,-0.45,3
,44914,5,0.236603,0.66,0.22,0.25,2.22,258,0.86,-0.47,1
,45831,4,0.645294,0.34,0.12,0.13,1.844,195,1.28,0.78,2
,50402,1,0.643293,0.49,0.15,0.18,0.78,284,-0.29,-0.88,2
,51570,5,0.629213,0.56,0.21,0.15,1.576,254,3.93,29.28,1
,51934,5,0.244835,0.67,0.23,0.3,1.153,227,0.65,-0.73,1
,56340,5,0.324801,0.4,0.13,0.16,0.731,275,0.73,-0.37,1
,60758,5,0.295669,0.41,0.14,0.17,0.63,295,0.53,-0.37,1
,61011,1,0.662369,0.7,0.23,0.3,2.858,274,-0.03,-1.06,1
,62217,5,0.253626,0.54,0.19,0.23,1.341,266,1.16,2.6,1
,62758,5,0.418112,0.63,0.19,0.19,1.086,276,1.37,1.28,1
,62892,1,0.530772,0.62,0.2,0.24,1.081,276,-0.55,-0.32,1
,71063,5,0.437878,0.47,0.16,0.2,1.819,215,0.64,-0.87,1
,74545,5,0.344574,0.41,0.13,0.16,1.46,192,0.72,-0.69,1
,89711,4,0.551155,0.49,0.16,0.16,0.507,254,1.57,2.86,1
,91437,1,0.674728,0.75,0.23,0.27,1.993,177,-0.12,-0.93,1
,92599,5,0.359635,0.44,0.13,0.15,2.114,162,0.39,-0.82,1
,92986,4,0.664411,0.3,0.12,0.06,1.464,289,3.69,14.56,2
,95250,2,0.313869,0.55,0.18,0.22,0.732,222,0.14,-0.65,1
,98679,4,0.221872,0.38,0.12,0.1,0.91,300,2.85,12.18,1
,104455,1,0.558518,0.86,0.26,0.24,0.663,119,-0.34,-0.13,1
,105039,1,0.608458,0.84,0.27,0.34,2.589,276,-0.78,-0.67,1
,108513,1,0.473809,0.85,0.26,0.21,1.433,282,-1.17,1.16,2
,110206,4,0.516572,0.94,0.29,0.16,0.854,242,1.87,4.31,1
,110587,5,0.383937,0.32,0.11,0.12,0.6,273,0.91,2.41,1
,114416,5,0.307679,0.49,0.16,0.19,0.966,279,0.83,0.01,1
,120165,1,0.521433,0.6,0.2,0.16,2.625,69,-1.09,1.14,1
,124162,5,0.265584,0.48,0.16,0.2,0.781,214,0.65,-0.51,1
,124320,5,0.312524,0.79,0.27,0.3,1.739,293,0.92,-0.1,1
,124419,5,0.32946,0.6,0.21,0.26,1.112,282,0.65,-0.4,1
,133089,5,0.396729,0.32,0.11,0.13,0.638,280,-0.13,0.9,1
,135048,1,0.546817,1.02,0.33,0.33,1.422,232,-0.34,1.13,1
,136668,1,0.532921,0.91,0.29,0.31,1.259,310,-0.14,0.31,1
,136986,4,0.602168,0.4,0.14,0.1,0.827,228,2.42,6.27,1
,141414,2,0.335691,0.48,0.16,0.22,0.885,278,0.29,-1.21,1
,142124,5,0.275377,0.56,0.19,0.24,1.55,317,0.65,-0.8,1
,142794,1,0.470789,0.77,0.27,0.38,1.388,270,-0.15,-1.27,1
,146540,5,0.319808,0.35,0.11,0.11,0.478,151,0.93,0.16,2
,147242,5,0.29037,0.53,0.17,0.2,0.761,276,0.85,-0.13,1
,154606,4,1.073411,0.67,0.21,0.12,0.723,281,2.53,6.57,2
,158779,1,0.609197,0.47,0.15,0.18,1.596,293,-0.52,-0.61,1
,161865,5,0.323656,0.41,0.14,0.17,1.415,298,1.43,2.88,1
,162255,1,0.512744,0.92,0.28,0.26,2.017,266,-0.88,-0.09,1
,163933,2,0.339629,0.46,0.16,0.22,1.479,306,0.11,-1.32,1
,172382,1,0.458312,1.09,0.33,0.31,1.836,227,-1.14,0.4,1
,174389,2,0.334034,0.32,0.11,0.14,1.429,270,0.14,-0.89,1
,177235,5,0.320581,0.32,0.1,0.13,1.422,204,0.01,-1.31,1
,178224,5,0.446932,0.44,0.14,0.18,2.006,159,0.36,-1.08,2
,180870,5,0.29276,0.35,0.1,0.11,0.493,218,0.36,-0.37,1
,182540,5,0.249339,0.56,0.2,0.26,1.705,76,0.15,-1.26,2
,186102,1,0.647424,0.77,0.26,0.31,1.242,188,-0.23,-1.02,2
,190201,5,0.222522,0.44,0.15,0.13,1.742,44,1.12,-0.05,2
,190820,1,0.572747,0.96,0.32,0.41,2.919,214,-0.57,-1.02,1
,192088,4,1.734797,0.46,0.14,0.13,1.488,556,3.16,9.62,1
,199576,5,0.394758,0.42,0.13,0.16,2.168,367,0.46,-0.72,1
,200595,5,0.286869,0.56,0.19,0.23,1.925,396,0.86,-0.57,1
,213223,2,0.217751,0.36,0.12,0.14,2.385,336,0.51,-0.07,2
,215632,1,0.572165,0.61,0.2,0.26,1.616,286,-0.39,-0.94,1
,216529,5,0.707115,0.49,0.15,0.16,2.296,253,0.71,-0.05,1
,221694,4,0.86439,0.35,0.11,0.09,1.312,337,2.22,5.12,2
,224940,5,0.263694,0.62,0.21,0.26,2.15,157,0.7,-0.61,1
,225320,5,0.316118,0.78,0.25,0.31,2.916,351,0.66,-0.65,1
,230554,5,0.228885,0.51,0.17,0.22,1.354,355,0.64,-0.77,1
,238576,5,0.308377,0.75,0.25,0.32,2.078,248,0.74,-0.69,1
,243018,5,0.272196,0.4,0.12,0.15,0.699,271,0.32,-0.64,1
,249735,0,-9.9,0.47,0.14,0.15,1.747,261,-0.13,0.75,1
,251676,5,0.286027,0.54,0.18,0.22,1.734,311,0.85,-0.46,1
,252284,5,0.464348,0.66,0.21,0.22,0.746,382,1.04,0.9,2
,252649,5,0.264338,0.46,0.15,0.2,2.329,256,0.3,-1.13,1
,255857,5,0.311176,0.47,0.27,0.15,1.245,317,4.61,27.19,1
,257977,5,0.277893,0.6,0.22,0.23,0.605,313,0.95,3.12,1
,258499,2,0.401506,0.35,0.12,0.14,1.308,275,-0.08,-0.97,1
,263541,1,0.558207,0.68,0.22,0.25,1.888,270,-0.73,-0.13,1
,266435,5,0.24524,0.37,0.13,0.16,1.305,245,0.25,-1.15,1
,269954,5,0.321081,0.35,0.12,0.16,1.463,274,0.36,-1.25,1
,271720,5,0.240253,0.66,0.22,0.26,0.889,244,0.72,-0.46,1
,283417,4,1.026891,0.45,0.13,0.11,0.924,249,1.57,2.04,1
,284356,5,0.2785,0.61,0.21,0.25,1.857,317,0.85,-0.47,1
,284560,5,0.257286,0.36,0.11,0.13,0.642,304,0.61,0.17,1
,287935,5,0.372655,0.35,0.12,0.14,1.739,190,0.62,-0.48,1
,291777,5,1.854071,0.39,0.11,0.11,1.344,271,1.23,0.75,2
,292893,5,0.273607,0.45,0.15,0.19,2.297,309,0.5,-0.33,1
,295532,5,0.443335,0.83,0.27,0.31,2.156,138,0.81,-0.4,1
,301278,5,0.307314,0.32,0.1,0.13,1.57,254,0.59,-0.65,1
,303860,1,0.492143,0.89,0.28,0.31,1.713,280,-0.64,-0.35,2
,309626,1,0.595824,0.68,0.22,0.28,2.292,215,-0.84,-0.4,1
,316910,5,0.358828,0.31,0.1,0.13,2.104,259,0.15,-1.22,1
,330723,5,0.291711,0.32,0.11,0.14,1.387,263,0.39,-0.95,1
,333594,0,-9.9,0.5,0.16,0.21,1.764,273,0.28,-1.03,1
,334185,5,0.311457,0.52,0.17,0.17,0.625,297,0.98,0.95,1
,344450,5,0.286716,0.38,0.12,0.13,0.522,237,0.63,1.04,1
,346722,5,0.26873,0.56,0.18,0.21,0.722,209,0.7,0.25,1
,350065,5,0.30427,0.45,0.15,0.17,2.294,153,0.45,-0.84,1
,350603,5,0.279545,0.47,0.17,0.18,0.57,172,1.0,1.1,1
,351485,4,1.657202,0.29,0.1,0.05,0.942,176,2.97,8.69,2
,353010,5,0.279915,0.53,0.18,0.22,1.229,277,0.92,-0.21,1
,353953,5,0.34756,0.32,0.12,0.13,0.928,158,1.45,3.67,1
,355767,1,0.52137,1.0,0.32,0.41,1.07,180,-0.19,-0.95,1
,361795,5,0.311585,0.6,0.2,0.24,1.595,211,0.89,-0.36,1
,361960,1,0.49705,0.81,0.24,0.25,2.813,207,-0.61,-0.41,2
,370327,5,0.310352,0.44,0.15,0.21,0.957,576,0.57,-0.35,1
,370495,5,0.227056,0.42,0.14,0.17,0.889,401,0.76,-0.15,1
,374379,5,0.32973,0.4,0.13,0.18,1.522,597,0.22,-1.07,1
,375186,5,0.244488,0.42,0.13,0.16,0.52,574,0.14,0.77,1
,377162,4,0.573512,0.38,0.11,0.12,0.684,580,1.7,2.88,1
,379033,5,0.350426,0.63,0.21,0.3,2.187,598,0.64,-0.92,1
,379731,5,0.290044,0.63,0.21,0.28,2.136,598,0.85,-0.65,1
,386501,1,0.4576,1.06,0.34,0.44,1.958,579,-0.75,-0.61,1
,389895,5,0.255368,0.55,0.19,0.24,1.508,580,1.06,2.4,1
,393084,1,0.530027,0.9,0.29,0.32,1.432,493,-0.52,-0.36,1
,400425,5,0.575621,0.45,0.15,0.2,1.219,617,0.43,-0.71,1
,403779,5,0.295208,0.43,0.2,0.15,0.728,380,4.14,30.63,1
,407281,4,0.827492,0.42,0.12,0.11,1.479,474,2.31,4.95,1
,407450,4,3.812744,0.85,0.25,0.16,0.807,591,2.51,6.23,1
,418785,1,0.70014,0.6,0.2,0.24,0.905,263,0.28,0.74,2
,418879,5,0.237461,0.58,0.19,0.24,1.203,367,0.7,-0.68,1
,420220,5,0.368279,0.4,0.14,0.2,1.72,330,0.34,-1.21,1
,420327,1,0.535221,0.49,0.15,0.17,1.351,144,-0.27,-0.86,1
,433281,5,0.285896,0.45,0.15,0.2,1.293,323,0.52,-0.87,1
,433308,5,0.511926,0.49,0.16,0.22,2.46,340,0.51,-1.03,1
,434098,0,-9.9,0.41,0.14,0.17,0.86,360,0.21,-0.42,1
,437483,1,0.699237,0.42,0.14,0.16,0.706,316,0.26,-0.54,1
,439441,1,0.709248,0.48,0.19,0.18,1.057,349,4.4,46.37,1
,440750,5,0.471956,0.35,0.1,0.12,0.966,341,0.42,0.06,2
,440879,5,0.38925,0.32,0.1,0.13,1.368,351,0.09,-1.0,2
,444083,5,0.247905,0.57,0.19,0.25,2.4,351,0.63,-0.88,1
,445712,5,0.330423,0.39,0.12,0.14,2.413,357,0.2,-0.54,2
,451311,5,0.453442,0.43,0.13,0.17,2.534,354,0.37,-0.44,2
,452441,5,0.458191,0.79,0.25,0.31,2.257,377,0.98,-0.22,1
,452488,5,0.634274,0.31,0.1,0.15,1.946,355,0.83,-0.71,2
,458198,5,0.32036,0.45,0.16,0.22,1.696,382,0.25,-1.25,1
,463861,5,0.298454,0.71,0.24,0.13,1.361,313,4.56,30.59,1
,465267,5,1.09886,0.57,0.17,0.11,0.846,246,2.4,5.33,1
,468106,5,0.266049,0.43,0.14,0.17,0.846,318,0.67,-0.38,1
,468548,5,0.281865,0.75,0.25,0.32,2.464,367,0.83,-0.58,1
,477364,5,0.344344,0.4,0.13,0.17,2.027,286,0.38,-0.78,1
,477871,5,0.354317,0.41,0.12,0.13,2.27,278,0.65,0.05,2
,481844,5,0.313663,0.44,0.13,0.1,0.538,303,-0.53,3.43,1
,491901,5,0.245949,0.66,0.22,0.28,0.919,290,0.75,-0.58,1
,505485,5,0.329876,0.45,0.15,0.19,1.414,291,0.59,-0.67,1
,514207,5,0.426159,0.37,0.13,0.09,0.683,263,4.1,28.36,2
,514883,1,0.557727,0.6,0.17,0.18,1.46,289,-0.56,0.25,1
,516954,2,0.297569,0.63,0.2,0.25,1.461,243,-0.04,-1.05,1
,518233,5,0.33373,0.55,0.19,0.19,1.561,194,-0.28,6.02,1
,519732,5,0.292987,0.76,0.25,0.31,1.601,304,0.81,-0.54,1
,522416,5,0.431086,0.32,0.1,0.13,1.995,257,0.48,-0.93,1
,523832,2,0.372376,0.46,0.16,0.2,1.428,251,0.02,-1.3,1
,525739,5,0.351723,0.81,0.25,0.25,0.84,236,-0.07,0.85,1
,531331,5,0.309674,0.51,0.17,0.2,1.836,113,0.82,-0.3,1
,533976,4,1.422963,0.42,0.17,0.1,0.654,236,3.08,11.32,1
,538267,5,0.422374,0.47,0.14,0.13,1.479,158,1.4,1.69,1
,544831,7,132.846191,0.78,0.28,0.34,2.804,185,0.35,-0.81,1
,548794,5,0.240943,0.75,0.25,0.27,0.7,243,0.95,0.79,1
,548881,5,0.308181,0.36,0.12,0.13,1.228,152,0.22,-0.73,1
,549204,5,0.155874,1.03,0.36,0.29,2.02,300,2.04,5.92,3
,558961,1,0.600533,0.48,0.16,0.15,2.165,213,-0.27,0.49,1
,560275,5,0.265469,0.38,0.13,0.17,1.383,232,0.77,-0.61,1
,565638,6,0.086365,0.37,0.12,0.15,0.688,234,-0.07,-0.65,1
,565920,5,0.249622,0.34,0.11,0.11,0.637,238,0.85,1.92,1
,566615,5,0.33024,0.53,0.19,0.25,1.826,202,0.48,-1.15,1
,569135,5,0.245147,0.72,0.23,0.28,1.004,226,0.8,-0.23,1
,575145,5,0.297399,0.59,0.19,0.21,1.459,185,1.11,0.2,1
,575883,5,0.378261,0.36,0.12,0.15,1.423,79,0.63,-0.53,1
,602919,5,0.259783,0.58,0.2,0.26,1.392,529,0.72,-0.62,1
,608497,1,0.485632,0.8,0.26,0.3,2.349,556,-0.87,-0.11,1
,616222,5,0.346167,0.42,0.14,0.19,1.942,570,0.66,-0.87,1
,621395,5,0.367371,0.59,0.2,0.26,1.901,442,0.7,-0.85,1
,624656,5,0.302738,0.57,0.19,0.24,1.117,568,0.93,0.37,1
,629195,5,0.229956,0.41,0.13,0.17,1.332,597,0.68,-0.67,1
,636251,5,0.293859,0.68,0.24,0.32,2.232,387,0.5,-1.18,1
,637718,5,0.256357,0.73,0.24,0.27,1.02,577,0.67,0.84,1
,637802,5,0.255798,0.56,0.18,0.25,0.672,594,0.83,0.0,1
,654062,4,1.334089,0.47,0.15,0.19,1.142,517,1.94,3.75,2
,655961,1,0.584869,0.63,0.21,0.25,1.291,368,0.13,-0.11,1
,658512,2,0.352602,0.54,0.17,0.19,0.572,404,0.1,0.1,1
,662873,1,0.533705,0.72,0.23,0.27,1.433,453,-0.5,0.0,1
,664583,1,0.602986,0.61,0.19,0.25,1.189,449,-0.35,-0.73,1
,665332,5,0.25465,0.55,0.28,0.25,1.362,349,3.33,20.67,1
,666805,5,0.334817,0.53,0.17,0.22,2.693,363,0.47,-0.68,2
,668072,5,0.279819,0.57,0.18,0.22,0.771,399,0.45,-0.66,1
,670864,1,0.600812,0.52,0.16,0.19,0.647,336,-0.11,-0.17,1
,672016,0,-9.9,0.38,0.12,0.14,1.01,353,-0.47,-0.33,1
,672294,5,0.283562,0.44,0.16,0.16,0.753,528,3.24,31.24,1
,677788,4,0.754126,0.49,0.17,0.1,1.999,347,3.14,10.49,2
,685989,5,0.294796,0.8,0.27,0.32,2.605,286,0.83,-0.58,1
,691815,5,0.299186,0.35,0.11,0.13,1.961,360,0.46,-0.59,1
,693239,1,0.530413,0.73,0.24,0.27,2.852,312,-0.65,-0.38,1
,695343,5,0.265859,0.31,0.27,0.11,1.677,156,7.28,57.65,1
,701058,5,0.324843,0.52,0.2,0.23,2.429,265,1.41,3.61,1
,702465,5,0.29181,0.85,0.29,0.35,2.261,257,0.68,-0.85,1
,703406,5,0.296891,0.57,0.2,0.26,2.047,357,0.72,-0.86,1
,704333,5,0.351832,0.58,0.2,0.26,2.457,280,0.44,-1.24,1
,705430,5,0.252984,0.33,0.11,0.12,0.644,239,0.2,-0.68,1
,711716,5,0.311598,0.6,0.21,0.26,1.357,259,0.7,-0.77,1
,717668,2,0.426742,0.34,0.12,0.16,1.37,302,0.2,-1.37,1
,717917,5,0.341883,0.45,0.13,0.14,0.648,234,0.51,-0.2,1
,718728,5,0.307834,0.3,0.1,0.13,1.53,309,0.24,-0.7,1
,729823,1,0.589937,0.87,0.28,0.35,1.252,315,-0.22,-1.01,1
,734545,2,0.289482,0.33,0.11,0.14,1.412,305,-0.37,-0.89,1
,734806,5,0.269198,0.56,0.18,0.2,0.674,157,0.86,0.17,1
,737951,2,0.357022,0.51,0.16,0.19,1.269,273,-0.26,-0.63,1
,746911,5,0.382317,0.41,0.14,0.18,2.003,219,0.24,-1.24,1
,747079,5,0.286876,0.58,0.19,0.25,1.214,330,0.34,-1.12,1
,747890,1,0.629413,0.55,0.18,0.22,2.508,289,-0.18,-1.23,1
,762911,4,1.943252,0.35,0.1,0.08,1.338,294,2.66,6.76,2
,767072,5,0.215225,0.45,0.15,0.19,0.942,301,0.54,-0.69,1
,767277,5,0.234979,0.64,0.21,0.27,1.513,277,0.74,-0.72,1
,770627,5,0.341705,0.66,0.19,0.19,1.751,164,1.21,0.77,1
,771232,1,0.540926,0.78,0.25,0.28,1.71,301,-0.84,-0.4,1
,782055,5,0.382021,0.46,0.16,0.21,1.26,289,0.47,-0.94,1
,783334,5,0.321209,0.47,0.16,0.2,2.27,205,0.41,-0.95,1
,784446,5,0.324786,0.55,0.18,0.22,2.2,284,0.77,-0.64,1
,798477,1,0.651629,0.67,0.24,0.26,1.161,294,0.66,4.57,1
,798482,2,0.277936,0.58,0.19,0.23,0.78,301,0.01,-0.95,1
,799320,5,0.306616,0.44,0.14,0.16,0.507,221,0.45,-0.58,1
,799685,5,0.280573,0.35,0.11,0.14,0.871,333,0.25,-0.11,1
,801247,6,0.05296,-9.9,0.12,0.13,0.658,282,-0.13,0.63,1
,803829,1,0.595283,0.78,0.26,0.31,2.693,270,-0.61,-0.76,1
,808583,5,0.284983,0.36,0.11,0.14,0.78,270,0.53,-0.27,1
,810169,1,0.465184,0.88,0.27,0.32,1.699,289,-0.6,-0.46,1
,812096,5,0.265023,0.41,0.13,0.16,0.736,237,0.25,-0.26,1
,813450,1,0.58937,0.67,0.21,0.23,1.178,221,-0.41,-0.07,1
,817360,6,0.064675,-9.9,0.15,0.18,1.85,233,-0.64,-0.66,1
,826908,5,0.370982,0.68,0.21,0.19,1.133,195,1.5,1.45,1
,835496,5,0.291376,0.52,0.16,0.2,1.034,176,0.6,-0.59,1
,836895,1,0.473397,1.05,0.34,0.43,2.33,194,-0.87,-0.62,1
,838906,5,0.383466,0.34,0.1,0.11,1.075,178,0.61,0.07,1
,843294,2,0.374216,0.41,0.2,0.2,1.465,290,3.14,17.54,1
,843597,2,0.349016,0.49,0.16,0.21,0.999,309,-0.19,-0.91,1
,851614,2,0.339573,0.38,0.14,0.2,1.424,105,0.13,-1.45,1
,851716,2,0.388355,0.54,0.16,0.19,1.105,100,-0.45,-0.47,1
,855171,4,1.115548,0.54,0.26,0.12,0.512,102,3.85,18.25,2
,856137,5,0.248168,0.71,0.24,0.25,1.529,289,0.87,-0.46,1
,856862,1,0.62585,0.47,0.15,0.18,0.879,294,-0.13,-0.48,1
,868267,5,0.271842,0.38,0.12,0.16,1.62,304,0.68,-0.5,1
,869112,1,0.635691,0.35,0.11,0.13,0.949,322,-0.32,-0.66,1
,872160,5,0.356043,0.44,0.13,0.12,1.03,319,1.42,1.62,1
,872620,1,0.549248,0.81,0.27,0.34,1.345,282,-0.26,-1.09,1
,880568,1,0.628276,0.67,0.23,0.29,2.034,200,-0.54,-0.87,1
,880588,1,0.600142,0.86,0.26,0.29,1.344,295,-0.82,0.17,1
,883073,1,0.725515,0.42,0.13,0.16,0.892,302,-0.06,-0.56,2
,885361,1,0.580546,0.76,0.24,0.27,1.025,291,-0.42,-0.5,1
,895953,1,0.658155,0.47,0.15,0.18,0.762,297,-0.27,-0.75,1
,897468,0,0.65849,0.34,0.11,0.11,0.59,96,0.17,-0.19,1
,899832,1,0.589462,0.59,0.21,0.28,2.364,285,-0.27,-1.22,1
,902168,5,0.337707,0.69,0.21,0.24,2.698,290,0.78,-0.37,1
,912581,1,0.515527,0.63,0.19,0.19,2.79,289,-0.93,0.19,3
,913320,4,4.621047,0.44,0.14,0.14,1.486,581,2.94,8.98,1
,917534,2,0.326702,0.59,0.23,0.21,0.71,550,1.85,8.3,1
,918281,4,0.878194,0.55,0.16,0.17,0.956,514,1.76,2.61,1
,921843,5,0.293694,0.44,0.14,0.17,1.416,550,0.43,-0.16,1
,924301,1,0.507505,0.82,0.26,0.31,1.972,418,-0.43,-0.48,1
,924405,4,0.90663,0.38,0.12,0.15,0.714,577,2.41,6.82,1
,931943,1,0.532899,1.0,0.32,0.37,1.627,284,-0.4,-0.35,1
,932204,5,0.286783,0.59,0.22,0.27,2.461,276,1.08,1.41,1
,940906,1,0.576609,1.0,0.32,0.38,3.464,286,-0.75,-0.62,1
,943836,2,0.341713,0.39,0.12,0.14,0.879,229,-0.5,0.35,1
,950554,2,0.314674,0.48,0.16,0.21,1.017,321,-0.04,-1.1,1
,956738,5,0.310867,0.5,0.17,0.19,0.782,313,0.71,1.82,1
,966279,1,0.517279,0.89,0.29,0.35,1.891,330,-1.17,0.38,1
,967924,1,0.643333,0.86,0.28,0.33,1.328,227,-0.36,-0.58,1
,968962,1,0.579337,0.73,0.24,0.31,1.437,235,-0.04,-1.16,1
,969277,1,0.691659,0.63,0.2,0.25,1.585,220,-0.54,-0.49,1
,970326,1,0.592226,0.56,0.19,0.25,1.196,275,-0.05,-0.77,1
,970699,0,-9.9,1.79,0.52,0.14,3.045,134,-2.16,3.4,1
,976746,1,0.620667,0.48,0.16,0.22,1.662,236,-0.12,-1.07,1
,980281,4,0.743958,0.49,0.15,0.11,2.062,233,2.37,5.37,1
,985609,5,0.292735,0.34,0.11,0.15,1.57,253,0.77,-0.54,1
,989567,2,0.316228,0.35,0.11,0.14,0.718,283,-0.38,-0.27,1
,991055,2,0.347278,0.41,0.12,0.14,1.182,131,0.18,-0.77,1
,991385,5,0.245263,0.84,0.27,0.32,0.777,282,0.71,-0.19,1
,993105,1,0.794684,0.32,0.11,0.12,0.683,205,0.49,1.07,1
,993141,0,-9.9,0.33,0.1,0.11,0.495,215,0.16,0.25,1
,999498,5,0.287555,0.48,0.19,0.23,2.349,493,1.58,6.26,1
,999528,1,0.658394,0.64,0.2,0.24,1.05,564,-0.31,-0.61,1
,1004849,1,0.458464,1.02,0.32,0.37,1.909,607,-0.74,-0.38,1
,1005497,1,0.6536,0.58,0.19,0.24,1.557,607,-0.25,-0.56,1
,1009459,5,0.245888,0.42,0.14,0.19,2.013,593,0.63,-0.78,1
,1010992,1,0.537339,0.62,0.2,0.26,2.194,255,-0.6,-0.68,1
,1013889,1,0.50457,0.9,0.28,0.33,1.374,228,-0.53,-0.38,1
,1014960,5,0.362666,0.37,0.12,0.14,0.977,166,0.79,-0.19,1
,1018967,5,0.248463,0.84,0.28,0.29,1.336,271,1.04,-0.05,1
,1019294,4,0.773703,0.51,0.15,0.19,0.927,278,1.32,0.89,2
,1031776,5,0.249161,0.78,0.24,0.23,0.56,151,0.97,1.1,1
,1032186,2,0.327228,0.33,0.12,0.14,0.688,140,-0.22,0.35,1
,1034627,1,0.620327,0.4,0.12,0.09,1.318,167,-0.74,0.48,1
,1037914,0,-9.9,0.7,0.24,0.32,1.33,170,-0.35,-0.98,1
,1045095,5,0.28509,0.68,0.22,0.27,1.45,216,1.03,-0.16,1
,1045890,5,0.426085,0.37,0.11,0.11,1.378,215,0.48,-0.3,1
,1049602,2,0.302012,0.42,0.14,0.2,1.593,220,0.23,-1.27,1
,1050401,5,0.266464,0.35,0.11,0.14,0.798,570,0.35,-0.7,1
,1051321,2,0.330481,0.36,0.15,0.17,1.791,558,1.42,7.64,1
,1051858,1,0.632088,0.44,0.14,0.18,0.575,552,0.24,-0.34,1
,1058132,1,0.632852,0.45,0.14,0.18,0.842,607,0.09,-0.53,1
,1059786,1,0.463511,1.05,0.34,0.43,1.861,549,-0.77,-0.65,1
,1061567,1,0.692534,0.33,0.11,0.15,1.731,547,-0.04,-1.16,1
,1066477,5,0.276328,0.62,0.19,0.16,1.163,147,0.72,-0.19,1
,1068312,5,0.338944,0.47,0.16,0.2,2.281,173,0.21,-0.97,2
,1071182,6,0.050051,0.2,0.12,0.11,0.545,217,-0.63,0.91,3
,1071236,5,0.335669,0.43,0.14,0.18,0.776,508,0.53,-0.53,1
,1072236,5,0.281965,0.49,0.14,0.15,1.244,464,1.56,2.21,2
,1080552,2,0.351454,0.52,0.16,0.21,1.301,548,-0.29,-0.57,1
,1087936,4,0.580372,0.6,0.19,0.16,1.418,558,2.59,6.44,2
,1088918,5,0.357809,0.46,0.16,0.16,1.5,529,2.03,4.37,1
,1092244,1,0.649492,0.77,0.25,0.32,1.493,590,-0.5,-0.8,1
,1102647,1,0.621546,0.71,0.22,0.27,2.243,559,-0.63,-0.59,1
,1103774,4,1.162872,0.34,0.14,0.1,0.595,554,3.55,16.75,1
,1107333,1,0.708404,0.53,0.16,0.19,2.555,424,-0.18,-0.85,1
,1111522,1,0.523948,0.74,0.24,0.29,1.967,345,-0.69,-0.34,1
,1111785,5,0.294383,0.44,0.14,0.19,2.086,518,0.38,-0.99,1
,1112498,1,0.492932,0.95,0.3,0.34,1.641,541,-0.9,-0.08,1
,1113422,2,0.386239,0.51,0.16,0.2,1.619,384,-0.12,-0.73,1
,1116649,0,0.572387,0.41,0.12,0.12,0.536,408,-0.23,2.1,1
,1117792,1,0.572388,0.62,0.2,0.27,2.709,510,-0.49,-1.2,1
,1124773,2,0.33183,0.43,0.14,0.18,0.645,169,-0.06,-0.72,1
,1126681,5,0.2576,0.54,0.18,0.22,1.339,187,0.9,-0.34,1
,1127427,1,0.619898,0.49,0.16,0.19,1.393,184,0.17,-0.98,1
,1128025,1,0.505646,1.3,0.39,0.3,1.31,138,0.79,1.47,1
,1128811,2,0.313348,0.63,0.2,0.22,0.715,144,0.16,-0.52,1
,1129060,1,0.640346,0.73,0.24,0.27,2.87,101,-0.61,-0.88,2
,1130401,1,0.467372,0.88,0.28,0.32,2.061,151,-0.56,-0.62,2
,1132871,1,0.556642,0.85,0.29,0.37,2.242,144,-0.62,-0.89,1
,1145534,1,0.536987,0.75,0.25,0.32,1.837,310,-0.56,-0.73,1
,1148376,1,0.519658,0.62,0.21,0.21,2.615,153,-1.3,2.76,2
,1149510,6,0.048577,0.43,0.16,0.19,0.479,104,-0.46,-0.13,1
,1152390,1,0.488849,0.94,0.3,0.3,1.898,145,-1.07,-0.16,1
,1156733,5,0.296103,0.33,0.11,0.14,2.233,255,0.44,-0.65,1
,1159364,1,0.646865,0.37,0.15,0.11,1.615,120,2.6,8.53,1
,1160136,7,109.034599,1.06,0.34,0.42,3.029,290,0.02,-1.08,1
,1162592,4,0.478005,0.28,0.19,0.09,0.854,321,8.57,89.15,2
,1164182,5,0.249387,0.62,0.21,0.27,1.048,316,0.65,-0.71,1
,1169665,2,0.412984,0.34,0.11,0.14,1.997,305,0.03,-1.1,1
,1172677,5,0.288061,0.51,0.16,0.21,1.483,313,0.72,-0.48,1
,1179977,1,0.68949,0.49,0.17,0.23,1.435,254,-0.17,-1.22,1
,1191441,5,0.750648,0.38,0.12,0.12,2.292,285,1.23,1.9,1
,1196152,5,0.356551,0.36,0.11,0.1,0.603,160,1.21,1.85,1
,1197898,2,0.341893,0.28,0.11,0.15,1.682,261,0.03,-1.52,1
,1202674,5,0.941556,1.2,0.35,0.19,2.075,314,2.17,3.75,2
