#,LINEARobjectID,LCtype,P,A,stdev,rms,Lchi2pdf,nObs,skew,kurt,CUF
,11293454,1,0.568598,0.62,0.19,0.22,1.804,307,-0.78,-0.27,1
,11296138,1,0.618449,0.5,0.16,0.19,2.116,263,-0.67,-0.36,1
,11296222,2,0.354371,0.41,0.15,0.18,1.157,258,1.02,6.88,1
,11303365,2,0.282034,0.43,0.14,0.18,1.567,285,-0.58,-0.83,1
,11316846,1,0.459271,1.01,0.32,0.39,1.674,177,-0.55,-0.71,1
,11320938,5,0.271973,0.45,0.15,0.18,1.254,222,0.84,-0.48,2
,11321453,1,0.512763,0.81,0.28,0.35,2.229,210,-0.4,-0.85,1
,11323391,1,0.643864,0.44,0.15,0.19,1.169,189,-0.34,-0.77,1
,11324733,1,0.593401,0.69,0.23,0.2,1.229,169,0.85,6.9,1
,11325737,1,0.579307,0.66,0.2,0.26,1.176,155,-0.2,-1.01,1
,11335574,1,0.582731,0.32,0.1,0.13,1.051,201,-0.34,-0.85,1
,11337303,5,0.278297,0.68,0.21,0.24,0.953,199,0.78,-0.38,1
,11339944,1,0.552774,0.94,0.27,0.23,1.713,205,-0.87,0.27,1
,11348055,1,0.556004,0.79,0.24,0.27,1.343,231,-0.45,-0.66,1
,11348526,7,151.329407,1.04,0.34,0.42,1.703,251,0.67,-0.51,1
,11354297,1,0.752728,0.45,0.17,0.18,1.481,196,0.61,1.64,2
,11355976,5,0.287597,0.67,0.22,0.24,0.909,239,0.74,0.06,1
,11363653,5,0.293332,0.78,0.26,0.34,1.602,316,0.81,-0.62,1
,11363998,1,0.65168,0.71,0.21,0.24,1.91,230,-0.56,-0.21,1
,11364592,2,0.318602,0.51,0.17,0.23,0.653,331,0.02,-1.03,1
,11365460,5,0.301335,0.51,0.18,0.23,1.423,104,0.37,-1.05,1
,11365516,2,0.327123,0.44,0.15,0.21,1.454,295,0.25,-1.31,2
,11366353,2,0.266815,0.41,0.14,0.19,2.313,260,-0.09,-0.99,1
,11368047,1,0.51139,0.83,0.28,0.34,1.385,290,-0.65,-0.58,1
,11368905,0,-9.9,0.61,0.19,0.22,0.597,294,0.14,0.43,1
,11370169,1,0.653563,0.74,0.22,0.22,2.957,252,-0.83,-0.06,1
,11372153,1,0.45463,1.03,0.31,0.29,2.112,267,-1.09,0.22,1
,11372314,0,-9.9,0.48,0.16,0.19,0.665,88,0.0,-0.67,1
,11375661,2,0.292861,0.53,0.17,0.2,0.795,235,0.16,-0.49,1
,11375941,6,0.107505,-9.9,0.14,0.17,1.228,280,-0.41,-0.63,2
,11376144,5,0.46547,0.44,0.13,0.13,1.996,250,1.09,0.54,1
,11376378,5,0.260525,0.56,0.18,0.22,1.475,272,0.71,-0.57,1
,11378426,4,1.173996,0.56,0.18,0.13,1.204,294,2.65,7.2,1
,11379304,5,0.241743,0.32,0.11,0.15,1.301,224,0.39,-1.14,1
,11382007,1,0.642532,0.36,0.12,0.15,0.969,278,-0.23,-0.79,1
,11385463,2,0.221363,0.43,0.16,0.23,1.27,223,0.05,-1.52,2
,11386927,1,0.552112,0.64,0.23,0.31,2.539,236,0.18,1.57,1
,11394313,2,0.320096,0.45,0.14,0.17,2.545,230,-0.17,-0.89,1
,11395106,5,0.28389,0.61,0.2,0.27,1.79,257,0.53,-0.98,1
,11400604,6,0.044614,0.33,0.11,0.14,0.767,277,-0.13,-0.9,1
,11401230,5,0.348392,0.57,0.2,0.26,1.554,256,0.64,-0.86,1
,11402630,5,0.426357,0.47,0.14,0.14,2.344,271,1.34,1.09,2
,11407362,2,0.242481,0.35,0.11,0.13,0.707,216,-0.72,1.91,2
,11408555,1,0.623869,0.43,0.14,0.16,0.568,254,0.39,-0.23,1
,11410670,1,0.597093,0.9,0.29,0.37,1.065,252,-0.01,-1.04,1
,11413263,1,0.663353,0.85,0.26,0.31,2.642,218,-0.36,-0.91,1
,11417615,5,0.259386,0.52,0.17,0.23,1.307,253,0.66,-0.95,1
,11420083,2,0.297897,0.49,0.16,0.21,1.205,246,0.04,-1.16,1
,11422873,2,0.32038,0.37,0.13,0.15,0.967,175,-0.14,-0.72,3
,11425991,1,0.540084,0.92,0.28,0.27,1.937,233,-0.74,-0.22,1
,11426705,1,0.459147,0.76,0.27,0.36,1.215,232,-0.47,-1.02,1
,11428827,2,0.357285,0.38,0.14,0.17,1.022,262,0.94,4.92,1
,11430673,2,0.311502,0.5,0.18,0.25,0.959,278,-0.16,-1.35,1
,11432150,2,0.274689,0.36,0.15,0.13,1.0,252,3.54,27.31,2
,11437675,5,0.271782,1.03,0.34,0.35,1.117,100,1.0,-0.05,1
,11438295,1,0.506505,0.65,0.2,0.23,1.196,185,-0.54,-0.6,2
,11438674,1,0.594315,0.58,0.18,0.22,1.198,255,-0.1,-0.86,1
,11441597,1,0.555787,0.55,0.18,0.19,0.788,209,-0.34,-0.32,1
,11442710,5,0.256194,0.84,0.28,0.22,1.253,236,-1.13,7.77,3
,11445136,2,0.310495,0.43,0.16,0.22,1.697,239,0.19,-1.5,1
,11446564,1,0.533248,0.81,0.25,0.27,1.942,241,-0.47,-0.69,1
,11448655,1,0.486902,0.87,0.28,0.36,1.365,257,-0.51,-0.71,1
,11450924,1,0.483106,0.78,0.25,0.29,2.484,223,-0.84,-0.51,2
,11453317,0,-9.9,0.34,0.12,0.13,2.366,158,0.13,-0.02,1
,11453870,1,0.591729,0.89,0.27,0.26,2.909,191,-0.64,-0.46,1
